Date,Open,High,Low,Close,Volume,Adj Close
2011-01-31,603.60,614.34,595.55,610.98,2071300,610.98
2011-01-24,607.57,622.49,599.76,600.99,3306800,600.99
2011-01-18,626.06,642.96,611.36,611.83,5353300,611.83
2011-01-10,614.80,624.27,608.56,624.18,1670100,624.18
2011-01-03,596.48,618.43,596.48,616.44,2176200,616.44
2010-12-27,602.74,603.87,592.03,593.97,1164100,593.97
2010-12-20,594.65,607.00,588.66,604.23,1542700,604.23
2010-12-13,597.12,603.00,587.67,590.80,2178700,590.80
2010-12-06,580.57,595.58,576.61,592.21,2093300,592.21
2010-11-29,589.17,589.80,553.31,573.00,3782000,573.00
2010-11-22,587.47,596.60,578.20,590.00,2014100,590.00
2010-11-15,603.08,604.00,581.37,590.83,2823200,590.83
2010-11-08,624.02,630.85,601.21,603.29,2498000,603.29
2010-11-01,615.73,629.92,611.21,625.08,2760300,625.08
2010-10-25,615.59,624.74,611.03,613.70,2475100,613.70
2010-10-18,600.55,619.69,600.55,612.53,4077500,612.53
2010-10-11,538.48,601.64,537.11,601.45,6178800,601.45
2010-10-04,524.95,540.00,518.85,536.35,2692900,536.35
2010-09-27,528.85,536.85,518.45,525.62,2880600,525.62
2010-09-20,492.50,527.83,492.06,527.29,3416200,527.29
2010-09-13,480.90,491.20,478.50,490.15,2894300,490.15
2010-09-07,464.50,480.40,463.02,476.14,2129100,476.14
2010-08-30,459.15,471.88,448.00,470.30,2126200,470.30
2010-08-23,461.50,468.25,447.65,458.83,2486000,458.83
2010-08-16,483.68,494.70,461.02,462.02,2744900,462.02
2010-08-09,502.25,506.00,482.51,486.35,2061700,486.35
2010-08-02,488.99,508.60,486.76,500.22,2642600,500.22
2010-07-26,489.09,497.50,479.14,484.85,2352400,484.85
2010-07-19,461.01,490.59,457.52,490.06,3259300,490.06
2010-07-12,472.37,494.70,459.52,459.61,4622300,459.61
2010-07-06,444.00,473.26,433.63,467.49,3172500,467.49
2010-06-28,472.59,477.55,433.63,436.55,2863400,436.55
2010-06-21,499.90,500.97,470.56,472.68,2274200,472.68
2010-06-14,494.48,505.87,482.18,500.03,2687900,500.03
2010-06-07,499.06,500.91,472.00,488.50,2681200,488.50
2010-06-01,480.43,509.25,480.12,498.72,3194600,498.72
2010-05-24,480.73,493.45,464.01,485.63,3308500,485.63
2010-05-17,506.78,510.97,464.40,472.05,4733800,472.05
2010-05-10,513.97,522.82,496.25,507.53,3748800,507.53
2010-05-03,526.50,532.92,460.00,493.14,4521000,493.14
2010-04-26,544.97,544.99,521.03,525.70,3422700,525.70
2010-04-19,548.75,560.25,542.27,544.99,2926600,544.99
2010-04-12,567.35,597.84,549.63,550.15,5732900,550.15
2010-04-05,570.90,574.88,560.05,566.22,2109300,566.22
2010-03-29,563.00,573.45,560.28,568.80,2553900,568.80
2010-03-22,556.11,572.00,539.70,562.69,4539600,562.69
2010-03-15,566.68,571.45,556.00,560.00,3595300,560.00
2010-03-08,564.78,588.28,556.50,579.54,3640900,579.54
2010-03-01,529.20,567.67,527.74,564.21,3356000,564.21
2010-02-22,547.35,547.50,520.00,526.80,2540400,526.80
2010-02-16,536.87,545.01,534.30,540.76,2643500,540.76
2010-02-08,532.50,542.00,527.69,533.12,2575600,533.12
2010-02-01,534.60,542.10,522.46,531.29,3175900,531.29
2010-01-25,546.59,549.88,525.61,529.94,4021800,529.94
2010-01-19,581.20,590.42,534.86,550.01,5168800,550.01
2010-01-11,604.46,604.46,573.90,580.00,5647400,580.00
2010-01-04,626.95,629.51,589.11,602.02,4015600,602.02
2009-12-28,621.66,625.99,618.01,619.98,1452000,619.98
2009-12-21,597.61,619.52,595.67,618.48,1845800,618.48
2009-12-14,595.35,600.37,590.99,596.42,2634700,596.42
2009-12-07,584.21,594.75,581.00,590.51,1665900,590.51
2009-11-30,580.63,594.83,577.11,585.01,1930100,585.01
2009-11-23,576.49,587.06,570.97,579.76,1749600,579.76
2009-11-16,575.00,578.78,569.40,569.96,1967900,569.96
2009-11-09,555.45,573.50,554.23,572.05,2150700,572.05
2009-11-02,537.08,551.78,528.24,551.10,2317800,551.10
2009-10-26,555.75,561.64,534.24,536.12,2949100,536.12
2009-10-19,552.69,559.35,540.70,553.69,3132200,553.69
2009-10-12,523.42,554.75,519.32,549.85,4912000,549.85
2009-10-05,487.65,523.25,483.34,516.25,3358600,516.25
2009-09-28,494.84,501.50,482.60,484.58,2498800,484.58
2009-09-21,487.74,507.00,486.22,492.48,2487800,492.48
2009-09-14,470.51,497.37,470.05,491.46,2945100,491.46
2009-09-08,464.29,473.30,455.84,472.14,2322400,472.14
2009-08-31,459.79,466.82,452.59,461.30,1900600,461.30
2009-08-24,467.35,474.35,460.73,464.75,2110500,464.75
2009-08-17,451.50,466.09,438.56,465.24,2957100,465.24
2009-08-10,455.14,464.72,452.38,460.00,1893200,460.00
2009-08-03,448.74,459.42,447.64,457.10,2395200,457.10
2009-07-27,446.04,452.70,431.89,443.05,2616500,443.05
2009-07-20,429.88,450.49,423.50,446.72,3162700,446.72
2009-07-13,416.17,445.75,415.18,430.25,4825400,430.25
2009-07-06,406.50,417.37,395.98,414.40,3033000,414.40
2009-06-29,426.00,427.80,406.81,408.49,2397900,408.49
2009-06-22,416.95,428.23,401.89,425.32,3156600,425.32
2009-06-15,421.50,421.50,411.56,420.09,3524200,420.09
2009-06-08,439.50,440.92,421.21,424.84,3099200,424.84
2009-06-01,418.73,447.34,418.53,444.32,3359500,444.32
2009-05-26,391.95,417.23,390.00,417.23,2863900,417.23
2009-05-18,394.73,405.67,385.40,393.50,2582300,393.50
2009-05-11,402.80,412.00,384.69,390.00,3027700,390.00
2009-05-04,398.17,410.13,392.50,407.33,3020300,407.33
2009-04-27,384.34,403.75,381.54,393.69,3125500,393.69
2009-04-20,386.15,393.18,375.89,389.49,3524100,389.49
2009-04-13,371.33,399.82,364.16,392.24,6465000,392.24
2009-04-06,367.00,374.35,355.31,372.50,3277000,372.50
2009-03-30,342.55,371.72,336.05,369.78,3665600,369.78
2009-03-23,333.56,359.16,333.03,347.70,4350700,347.70
2009-03-16,325.99,340.00,318.59,330.16,4704100,330.16
2009-03-09,299.98,327.46,289.45,324.42,5611100,324.42
2009-03-02,333.33,340.70,294.25,308.57,6779100,308.57
2009-02-23,347.00,352.49,329.55,337.99,5756300,337.99
2009-02-17,346.51,359.80,335.00,346.45,5727600,346.45
2009-02-09,371.28,381.00,351.48,357.68,5401900,357.68
2009-02-02,334.29,373.81,332.00,371.28,6576600,371.28
2009-01-26,324.85,352.33,320.56,338.53,5837000,338.53
2009-01-20,299.14,331.96,282.75,324.70,7243100,324.70
2009-01-12,316.31,320.60,286.79,299.67,4872700,299.67
2009-01-05,321.00,340.80,313.40,315.07,4749900,315.07
2008-12-29,300.22,321.82,291.58,321.32,3510600,321.32
2008-12-22,308.56,309.50,290.63,300.36,2893900,300.36
2008-12-15,314.01,329.50,305.11,310.17,5992600,310.17
2008-12-08,289.99,318.00,282.00,315.76,6434500,315.76
2008-12-01,286.68,287.38,262.58,283.99,5772700,283.99
2008-11-24,269.26,296.45,249.01,292.96,7437000,292.96
2008-11-17,303.00,310.16,247.30,262.43,8749600,262.43
2008-11-10,328.00,329.44,280.00,310.02,10205900,310.02
2008-11-03,357.58,372.36,325.33,331.14,6701400,331.14
2008-10-27,334.81,372.00,325.60,359.36,7894900,359.36
2008-10-20,379.75,383.78,324.74,339.29,6586600,339.29
2008-10-13,355.79,394.50,309.44,372.54,10780100,372.54
2008-10-06,373.98,375.99,310.30,332.00,10554800,332.00
2008-09-29,419.51,425.08,380.71,386.91,6812300,386.91
2008-09-22,454.13,454.13,421.03,431.04,4833200,431.04
2008-09-15,424.00,462.07,410.50,449.15,8256000,449.15
2008-09-08,452.02,452.94,406.38,437.66,6994700,437.66
2008-09-02,476.77,482.18,440.08,444.25,4952200,444.25
2008-08-25,486.11,497.00,462.33,463.29,3317500,463.29
2008-08-18,509.84,510.00,479.27,490.59,3234700,490.59
2008-08-11,492.47,510.66,491.78,510.15,3416900,510.15
2008-08-04,468.12,495.75,461.90,495.01,3192000,495.01
2008-07-28,492.09,492.09,462.50,467.86,3065300,467.86
2008-07-21,480.88,497.23,465.60,491.98,4442300,491.98
2008-07-14,539.00,540.06,478.19,481.32,7063500,481.32
2008-07-07,542.30,555.68,519.43,533.80,4530900,533.80
2008-06-30,532.47,540.38,517.00,537.00,3837100,537.00
2008-06-23,545.36,557.80,515.09,528.07,4707500,528.07
2008-06-16,566.50,579.10,544.51,546.43,4410600,546.43
2008-06-09,568.06,575.70,544.46,571.51,4886900,571.51
2008-06-02,582.50,588.04,560.61,567.00,3998700,567.00
