Date,Open,High,Low,Close,Volume,Adj Close
2012-01-17,424.20,431.37,419.75,420.30,10673200,411.46
2012-01-09,425.50,427.75,418.66,419.81,9327900,410.98
2012-01-03,409.40,422.75,409.00,422.40,10283900,413.52
2011-12-27,403.10,409.09,400.51,405.00,7940800,396.48
2011-12-19,382.47,403.59,380.48,403.33,9338900,394.85
2011-12-12,391.68,395.40,377.68,381.02,12318300,373.01
2011-12-05,393.49,396.41,386.76,393.62,11563600,385.34
2011-11-28,372.35,393.63,370.20,389.70,13531700,381.51
2011-11-21,370.40,377.93,363.32,363.57,13750300,355.93
2011-11-14,383.52,391.14,374.88,374.94,14748300,367.06
2011-11-07,399.91,408.00,380.26,384.62,18771000,376.53
2011-10-31,402.42,409.33,393.22,400.24,14208300,391.82
2011-10-24,396.18,409.00,393.15,404.95,15759800,396.44
2011-10-17,421.74,426.70,390.75,392.87,27444400,384.61
2011-10-10,379.09,422.00,378.21,422.00,19071700,413.13
2011-10-03,380.37,384.78,354.24,369.80,28837700,362.02
2011-09-26,399.86,409.25,381.18,381.32,21955200,373.30
2011-09-19,397.00,422.86,395.20,404.30,26573900,395.80
2011-09-12,373.00,400.50,371.90,400.50,18281700,392.08
2011-09-06,367.37,388.61,366.48,377.48,16439700,369.54
2011-08-29,388.18,392.08,371.83,374.05,15203100,366.19
2011-08-22,364.51,383.80,355.09,383.58,23794500,375.52
2011-08-15,379.63,384.97,356.00,356.03,21633400,348.54
2011-08-08,361.69,379.64,353.02,376.99,31257200,369.06
2011-08-01,397.78,399.50,362.57,373.62,29006300,365.76
2011-07-25,390.35,404.50,384.00,390.48,21088000,382.27
2011-07-18,365.43,396.27,365.28,393.30,24117100,385.03
2011-07-11,356.34,365.00,348.62,364.92,15720800,357.25
2011-07-05,343.00,360.00,342.50,359.71,15082700,352.15
2011-06-27,327.59,343.50,327.25,343.26,12463700,336.04
2011-06-20,317.36,333.15,310.50,326.35,18029800,319.49
2011-06-13,326.60,333.25,318.33,320.26,15635900,313.53
2011-06-06,345.70,347.05,325.51,325.90,14532100,319.05
2011-05-31,341.10,352.13,341.00,343.44,14504200,336.22
2011-05-23,329.97,338.56,329.42,337.41,10185000,330.32
2011-05-16,339.20,342.41,330.73,335.22,13114400,328.17
2011-05-09,347.86,350.00,340.35,340.50,10506800,333.34
2011-05-02,349.74,351.83,345.50,346.66,12581500,339.37
2011-04-25,350.34,354.99,345.52,350.13,16634700,342.77
2011-04-18,326.10,355.13,320.16,350.70,22176300,343.33
2011-04-11,334.06,336.14,326.80,327.46,13758600,320.57
2011-04-04,344.31,344.60,333.95,335.06,14973800,328.02
2011-03-28,353.15,354.32,343.30,344.56,12031000,337.32
2011-03-21,335.99,352.06,335.26,351.54,14013800,344.15
2011-03-14,353.18,356.48,326.26,330.67,26654900,323.72
2011-03-07,361.40,361.67,344.90,351.99,16674000,344.59
2011-02-28,351.24,360.29,347.68,360.00,17256100,352.43
2011-02-22,342.15,348.43,337.72,348.16,21645800,340.84
2011-02-14,356.79,364.90,349.52,350.56,17302700,343.19
2011-02-07,347.89,360.00,347.64,356.85,18892300,349.35
2011-01-31,335.80,346.70,334.30,346.50,12703300,339.21
2011-01-24,326.87,345.60,326.72,336.10,17896500,329.03
2011-01-18,329.52,348.60,326.00,326.72,40498200,319.85
2011-01-10,338.83,348.48,337.17,348.48,12863400,341.15
2011-01-03,325.64,336.35,324.84,336.12,11586400,329.05
2010-12-27,322.85,326.66,321.31,322.56,6713400,315.78
2010-12-20,321.60,325.72,318.23,323.60,10098600,316.80
2010-12-13,324.37,325.06,319.00,320.61,13693500,313.87
2010-12-06,318.64,323.99,317.11,320.56,12275200,313.82
2010-11-29,315.50,319.00,310.87,317.44,15816600,310.77
2010-11-22,306.68,317.70,305.87,315.00,13962800,308.38
2010-11-15,308.46,310.54,297.76,306.73,17286000,300.28
2010-11-08,317.20,321.30,303.63,308.03,15761800,301.55
2010-11-01,302.22,320.18,302.20,317.13,16927900,310.46
2010-10-25,309.09,311.60,300.87,300.98,15471100,294.65
2010-10-18,318.47,319.00,300.02,307.47,28368900,301.01
2010-10-11,294.74,315.00,292.49,314.74,21242000,308.12
2010-10-04,281.60,294.50,277.77,294.07,19106700,287.89
2010-09-27,293.98,294.73,275.00,282.52,22207500,276.58
2010-09-20,276.08,293.53,275.85,292.32,23911700,286.17
2010-09-13,265.82,277.96,265.52,275.37,17949100,269.58
2010-09-07,256.64,266.52,256.25,263.41,15135900,257.87
2010-08-30,240.76,258.78,240.35,258.77,17409500,253.33
2010-08-23,251.79,252.00,235.56,241.62,18774000,236.54
2010-08-16,247.58,254.67,246.62,249.64,13512100,244.39
2010-08-09,261.48,262.15,246.12,249.10,16177800,243.86
2010-08-02,260.44,264.28,257.63,260.09,14286200,254.62
2010-07-26,260.00,265.99,254.90,257.25,18695100,251.84
2010-07-19,249.88,265.15,239.60,259.94,31884300,254.47
2010-07-12,258.53,261.85,246.43,249.90,31646900,244.65
2010-07-06,251.00,262.90,246.16,259.62,21796900,254.16
2010-06-28,266.93,269.75,243.20,246.94,29817700,241.75
2010-06-21,277.69,279.01,265.81,266.70,25188700,261.09
2010-06-14,255.96,275.00,254.01,274.07,25922700,268.31
2010-06-07,258.29,259.15,242.20,253.51,29031800,248.18
2010-06-01,259.69,265.94,254.63,255.96,26548500,250.58
2010-05-24,247.28,259.40,237.16,256.88,29534200,251.48
2010-05-17,254.70,258.55,231.35,242.32,36271700,237.23
2010-05-10,250.25,265.00,248.53,253.82,27476200,248.48
2010-05-03,263.84,267.88,199.25,235.86,35879600,230.90
2010-04-26,271.88,272.46,256.41,261.09,21772200,255.60
2010-04-19,247.03,272.18,241.77,270.83,27700100,265.14
2010-04-12,242.20,251.14,241.11,247.40,15504600,242.20
2010-04-05,234.98,241.92,234.77,241.79,19051400,236.71
2010-03-29,233.00,238.73,231.62,235.97,18766600,231.01
2010-03-22,220.47,231.95,220.15,230.90,20284200,226.05
2010-03-15,225.38,226.45,220.25,222.25,16378000,217.58
2010-03-08,220.01,227.73,217.89,226.60,19774200,221.84
2010-03-01,205.75,219.70,205.45,218.95,19673900,214.35
2010-02-22,202.34,205.17,195.71,204.62,18562900,200.32
2010-02-16,201.94,204.31,200.86,201.67,16235900,197.43
2010-02-08,195.69,201.64,194.00,200.38,19195200,196.17
2010-02-01,192.37,200.20,190.85,195.46,26225000,191.35
2010-01-25,202.51,213.71,190.25,192.06,50534500,188.02
2010-01-19,208.33,215.55,197.16,197.75,25286400,193.59
2010-01-11,212.80,213.00,204.10,205.93,19211000,201.60
2010-01-04,213.43,215.59,209.05,211.98,18375200,207.52
2009-12-28,211.72,213.95,208.31,210.73,16555900,206.30
2009-12-21,196.05,209.35,195.67,209.04,16141400,204.64
2009-12-14,195.37,197.51,191.00,195.43,16184600,191.32
2009-12-07,193.32,199.70,188.68,194.67,21495600,190.58
2009-11-30,201.11,202.77,190.28,193.32,20582000,189.26
2009-11-23,203.00,206.00,198.37,200.59,12277200,196.37
2009-11-16,205.48,208.00,197.76,199.92,15750200,195.72
2009-11-09,196.94,205.00,196.26,204.45,14863500,200.15
2009-11-02,189.80,195.19,185.57,194.34,16921100,190.25
2009-10-26,203.67,206.75,188.17,188.50,23907600,184.54
2009-10-19,187.85,208.71,185.55,203.94,32065500,199.65
2009-10-12,191.02,192.32,187.84,188.05,12975200,184.10
2009-10-05,186.20,191.45,184.27,190.47,15895500,186.47
2009-09-28,183.87,187.40,180.70,184.90,16431600,181.01
2009-09-21,184.29,188.90,181.44,182.37,17029600,178.54
2009-09-14,170.83,186.79,170.25,185.02,20819000,181.13
2009-09-08,172.98,174.47,169.70,172.16,17555600,168.54
2009-08-31,168.16,170.70,164.11,170.31,12951400,166.73
2009-08-24,170.12,172.49,164.83,170.05,13844000,166.47
2009-08-17,163.55,169.37,159.42,169.22,15192200,165.66
2009-08-10,165.66,168.67,161.88,166.78,13189300,163.27
2009-08-03,165.21,167.39,163.09,165.51,13872900,162.03
2009-07-27,160.17,165.00,157.26,163.39,14794000,159.95
2009-07-20,153.27,160.00,149.75,159.99,24640900,156.63
2009-07-13,139.54,152.02,137.53,151.75,16514700,148.56
2009-07-06,138.70,139.68,134.42,138.52,16603600,135.61
2009-06-29,143.46,144.66,139.79,140.02,15950800,137.08
2009-06-22,140.67,143.56,132.88,142.44,20398600,139.45
2009-06-15,136.01,139.50,134.53,139.48,19825000,136.55
2009-06-08,143.82,144.56,136.04,136.97,24179600,134.09
2009-06-01,136.47,146.40,136.00,144.67,18980500,141.63
2009-05-26,124.76,135.90,124.55,135.81,19887800,132.95
2009-05-18,123.73,129.31,121.57,122.50,13755600,119.92
2009-05-11,127.37,130.96,119.38,122.42,17325000,119.85
2009-05-04,128.24,133.50,126.26,129.19,17720600,126.47
2009-04-27,122.90,127.95,122.66,127.24,16361800,124.56
2009-04-20,121.73,127.20,118.60,123.90,24013100,121.29
2009-04-13,120.01,124.25,115.76,123.42,16769100,120.83
2009-04-06,114.94,120.00,113.28,119.57,19473500,117.06
2009-03-30,104.51,116.13,102.61,115.99,22216100,113.55
